untrustworthy_flag,turnout_2020_binary,voted_biden_2020,voted_trump_2020,age,female,digital_literacy_index,ideo5_linear,pid7_linear,socmed_use_linear,newsint_linear,intuse_linear,race4_Black,race4_Hispanic,race4_Other,educ4_HS or less,educ4_Postgrad,educ4_Some college,region_Northeast,region_South,region_West,presvote16post_condensed_Did Not Vote,presvote16post_condensed_Hillary Clinton,presvote16post_condensed_Other
0,1,0,1,53,0,2.1666666666666665,4.0,6.0,1.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,20,0,4.0,1.0,1.0,1.0,3.0,4.0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,1,0,58,0,5.0,3.0,3.0,2.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,1,0,59,1,5.0,2.0,1.0,2.0,4.0,4.0,0,0,0,0,0,1,0,1,0,0,1,0
1,1,1,0,52,0,5.0,3.0,2.0,5.0,4.0,4.0,0,0,1,0,0,0,0,1,0,0,1,0
0,1,0,1,69,1,3.6666666666666665,3.0,7.0,6.0,4.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,1,0,68,1,4.333333333333333,3.0,3.0,4.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,1,0,76,0,4.833333333333333,2.0,2.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,0,1,73,0,4.0,4.0,5.0,2.0,4.0,4.0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,1,73,0,2.6666666666666665,4.0,7.0,4.0,4.0,4.0,0,0,0,0,1,0,1,0,0,0,0,0
0,1,1,0,55,1,3.5,2.0,1.0,1.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,82,1,3.3333333333333335,3.0,5.0,1.0,3.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,1,0,72,1,2.0,1.0,2.0,4.0,4.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0
1,1,1,0,59,1,3.8333333333333335,2.0,3.0,1.0,4.0,4.0,0,0,0,0,0,1,1,0,0,0,1,0
0,1,1,0,59,1,1.6666666666666667,4.0,2.0,1.0,3.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,72,0,4.5,1.0,1.0,1.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,1,0,71,1,4.833333333333333,1.0,3.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,0,1
0,1,1,0,65,1,3.8333333333333335,2.0,3.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,1,0,64,1,3.1666666666666665,3.0,2.0,1.0,4.0,4.0,0,0,0,0,0,1,1,0,0,1,0,0
0,1,1,0,81,0,4.0,2.0,1.0,2.0,4.0,4.0,0,1,0,0,1,0,0,1,0,0,1,0
1,1,0,1,79,0,3.6666666666666665,5.0,7.0,1.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,82,1,3.0,5.0,7.0,5.0,4.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,0,1,66,0,2.3333333333333335,4.0,7.0,3.0,4.0,2.0,0,0,0,0,0,1,1,0,0,0,0,0
1,1,0,1,20,1,2.3333333333333335,3.0,4.0,5.0,3.0,4.0,0,0,1,0,0,1,1,0,0,1,0,0
1,1,0,1,74,1,2.6666666666666665,4.0,5.0,2.0,4.0,4.0,0,0,0,1,0,0,1,0,0,0,0,1
